kind	address	name	ghidra_type	array_size	description
MEAS	0x00010000	CsMFPN_OperatingSys.a_Checksum	byte	1	CsMFPN_OperatingSys.a_Checksum[0]
MEAS	0x00010001	CsMFPN_OperatingSys.a_Checksum[1]	byte	1	CsMFPN_OperatingSys.a_Checksum[1]
MEAS	0x00010002	CsMFPN_OperatingSys.y_ProcessorID	byte	1	CsMFPN_OperatingSys.y_ProcessorID
MEAS	0x00010003	CsMFPN_OperatingSys.y_ModuleID	byte	1	CsMFPN_OperatingSys.y_ModuleID
MEAS	0x00010004	CsMFPN_OperatingSys.y_HeaderFormatID	byte	1	CsMFPN_OperatingSys.y_HeaderFormatID
MEAS	0x00010005	CsMFPN_OperatingSys.a_PartNumber	byte	1	CsMFPN_OperatingSys.a_PartNumber[0]
MEAS	0x00010006	CsMFPN_OperatingSys.a_PartNumber[1]	byte	1	CsMFPN_OperatingSys.a_PartNumber[1]
MEAS	0x00010007	CsMFPN_OperatingSys.a_PartNumber[2]	byte	1	CsMFPN_OperatingSys.a_PartNumber[2]
MEAS	0x00010008	CsMFPN_OperatingSys.a_PartNumber[3]	byte	1	CsMFPN_OperatingSys.a_PartNumber[3]
MEAS	0x00010009	CsMFPN_OperatingSys.a_DesignLevelSuffix	byte	1	CsMFPN_OperatingSys.a_DesignLevelSuffix[0]
MEAS	0x0001000A	CsMFPN_OperatingSys.a_DesignLevelSuffix[1]	byte	1	CsMFPN_OperatingSys.a_DesignLevelSuffix[1]
MEAS	0x0001000C	CsMFPN_OperatingSys.b_CustPartNumber	word	1	CsMFPN_OperatingSys.b_CustPartNumber
MEAS	0x0001000E	CsMFPN_OperatingSys.a_PartNumberASCII	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[0]
MEAS	0x0001000F	CsMFPN_OperatingSys.a_PartNumberASCII[1]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[1]
MEAS	0x00010010	CsMFPN_OperatingSys.a_PartNumberASCII[2]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[2]
MEAS	0x00010011	CsMFPN_OperatingSys.a_PartNumberASCII[3]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[3]
MEAS	0x00010012	CsMFPN_OperatingSys.a_PartNumberASCII[4]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[4]
MEAS	0x00010013	CsMFPN_OperatingSys.a_PartNumberASCII[5]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[5]
MEAS	0x00010014	CsMFPN_OperatingSys.a_PartNumberASCII[6]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[6]
MEAS	0x00010015	CsMFPN_OperatingSys.a_PartNumberASCII[7]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[7]
MEAS	0x00010016	CsMFPN_OperatingSys.a_PartNumberASCII[8]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[8]
MEAS	0x00010017	CsMFPN_OperatingSys.a_PartNumberASCII[9]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[9]
MEAS	0x00010018	CsMFPN_OperatingSys.a_PartNumberASCII[10]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[10]
MEAS	0x00010019	CsMFPN_OperatingSys.a_PartNumberASCII[11]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[11]
MEAS	0x0001001A	CsMFPN_OperatingSys.a_PartNumberASCII[12]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[12]
MEAS	0x0001001B	CsMFPN_OperatingSys.a_PartNumberASCII[13]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[13]
MEAS	0x0001001C	CsMFPN_OperatingSys.a_PartNumberASCII[14]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[14]
MEAS	0x0001001D	CsMFPN_OperatingSys.a_PartNumberASCII[15]	byte	1	CsMFPN_OperatingSys.a_PartNumberASCII[15]
MEAS	0x0001001E	CsMFPN_OperatingSys.a_CRC16	byte	1	CsMFPN_OperatingSys.a_CRC16[0]
MEAS	0x0001001F	CsMFPN_OperatingSys.a_CRC16[1]	byte	1	CsMFPN_OperatingSys.a_CRC16[1]
MEAS	0x00010020	CsMFPN_OperatingSys.y_ChecksumBypass	byte	1	CsMFPN_OperatingSys.y_ChecksumBypass
MEAS	0x00010021	CsMFPN_OperatingSys.c_Cnt_Size	byte	1	CsMFPN_OperatingSys.c_Cnt_Size
MEAS	0x00010022	CsMFPN_OperatingSys.c_Cnt_CRC16_Size	byte	1	CsMFPN_OperatingSys.c_Cnt_CRC16_Size
MEAS	0x00010023	CsMFPN_OperatingSys.c_Cnt_Mod16_Size	byte	1	CsMFPN_OperatingSys.c_Cnt_Mod16_Size
MEAS	0x00010024	CsMFPN_OperatingSys.s_AddressRange[0].p_StartAddr	byte	1	CsMFPN_OperatingSys.s_AddressRange[0].p_StartAddr[0]
